name,coinName,symbol,proofType,url,algorithm,summary,lifespan,founder,durl
QNTU,Quanta,QNTU,N/A,/coins/qntu/overview,N/A,,,,,
IONC,IONChain,IONC,N/A,/coins/ionc/overview,N/A,,,,,
TOMO,TomoChain,TOMO,N/A,/coins/tomo/overview,N/A,,,,,
ETRNT,Eternal Trusts,ETRNT,N/A,/coins/etrnt/overview,N/A,,,,,
SOW,Seed of World,SOW,N/A,/coins/sow/overview,N/A,,,,,
CELL,SolarFarm,CELL,PoW,/coins/cell/overview,N/A,,,,,
QNTR,Quantor,QNTR,N/A,/coins/qntr/overview,N/A,,,,,
YNDX.CUR,Yandex N.V.,YNDX.CUR,N/A,/coins/yndxcur/overview,N/A,,,,,
BNK,Bankera,BNK,N/A,/coins/bnk/overview,N/A,,,,,
APIX,APIX,APIX,N/A,/coins/apix/overview,N/A,,,,,
BNN,Banyan Network,BNN,N/A,/coins/bnn/overview,N/A,,,,,
MMXIV,MaieutiCoin,MMXIV,PoS,/coins/mmxiv/overview,SHA-256,,,,,
SPA,SpainCoin,SPA,PoW,/coins/spa/overview,Scrypt-n,,,,,
BNP,BenePit,BNP,N/A,/coins/bnp/overview,N/A,,,,,
SPD,Stipend,SPD,PoW/PoS,/coins/spd/overview,C11,,,,,
BNS,BNS token,BNS,N/A,/coins/bns/overview,N/A,,,,,
SPC,SpinCoin,SPC,PoW/PoS,/coins/spc/overview,NIST5,,,,,
BNR,BiNeuro,BNR,N/A,/coins/bnr/overview,N/A,,,,,
APIS,APIS,APIS,PoW,/coins/apis/overview,N/A,,,,,
SPF,SportyCo,SPF,N/A,/coins/spf/overview,N/A,,,,,
BNT,Bancor Network Token,BNT,N/A,/coins/bnt/overview,N/A,,,,,
TOPC,Topchain,TOPC,N/A,/coins/topc/overview,N/A,,,,,
BNX,BnrtxCoin,BNX,PoW,/coins/bnx/overview,X11,,,,,
SPK,SparksPay,SPK,PoW,/coins/spk/overview,NeoScrypt,,,,,
AXYS,Axys,AXYS,N/A,/coins/axys/overview,N/A,,,,,
SPN,Sapien Network,SPN,N/A,/coins/spn/overview,N/A,,,,,
SPM,Supreme,SPM,PoW/PoS,/coins/spm/overview,Scrypt,,,,,
RH.CUR,Rh,RH.CUR,N/A,/coins/rhcur/overview,N/A,,,,,
STOCKBET,StockBet,STOCKBET,N/A,/coins/stockbet/overview,N/A,,,,,
LENIN,LeninCoin,LENIN,PoW,/coins/lenin/overview,SHA-256D,,,,,
BOA,BOSAGORA,BOA,N/A,/coins/boa/overview,N/A,,,,,
NVOY,Envoy,NVOY,N/A,/coins/nvoy/overview,N/A,,,,,
SPT,SPECTRUM,SPT,N/A,/coins/spt/overview,N/A,,,,,
BOE,Bodhi,BOE,N/A,/coins/boe/overview,N/A,,,,,
SPX,Sp8de,SPX,N/A,/coins/spx/overview,N/A,,,,,
BOG,Bogcoin,BOG,PoW,/coins/bog/overview,SHA-256,,,,,
SPY,Verifier,SPY,N/A,/coins/spy/overview,N/A,,,,,
TOPN,TOP Network,TOPN,N/A,/coins/topn/overview,N/A,,,,,
BOK,Blockium,BOK,N/A,/coins/bok/overview,N/A,,,,,
BON,Bonpay,BON,N/A,/coins/bon/overview,N/A,,,,,
BOO,BOOSTO,BOO,N/A,/coins/boo/overview,N/A,,,,,
MBIT,Mbitbooks,MBIT,PoW,/coins/mbit/overview,Scrypt,,,,,
BOT,Bodhi,BOT,N/A,/coins/bot/overview,N/A,,,,,
BOS,BOScoin,BOS,mFBA,/coins/bos/overview,N/A,,,,,
BOU,Boulle,BOU,N/A,/coins/bou/overview,N/A,,,,,
BOX,ContentBox,BOX,PoS,/coins/box/overview,N/A,,,,,
SQL,Squall Coin,SQL,PoS/PoW,/coins/sql/overview,X11,,,,,
SQP,SqPay,SQP,N/A,/coins/sqp/overview,N/A,,,,,
SQR,Squeezer,SQR,N/A,/coins/sqr/overview,N/A,,,,,
KAM,BitKAM,KAM,N/A,/coins/kam/overview,N/A,,,,,
CENT,CENTERCOIN,CENT,N/A,/coins/cent/overview,N/A,,,,,
KAL,Kaleido,KAL,PoS,/coins/kal/overview,N/A,,,,,
PCCM,Poseidon Chain,PCCM,N/A,/coins/pccm/overview,N/A,,,,,
KAN,Bitkan,KAN,N/A,/coins/kan/overview,N/A,,,,,
TRUMP,TrumpCoin,TRUMP,PoS,/coins/trump/overview,Blake,,,,,
KB3,B3Coin,KB3,PoS/PoD,/coins/kb3/overview,X11,,,,,
BPL,BlockPool,BPL,N/A,/coins/bpl/overview,DPoS,,,,,
KAT,Kambria,KAT,N/A,/coins/kat/overview,N/A,,,,,
C20,Crypto20,C20,N/A,/coins/c20/overview,N/A,,,,,
BPN,beepnow,BPN,N/A,/coins/bpn/overview,N/A,,,,,
SRC,SecureCoin,SRC,PoW,/coins/src/overview,Scrypt,,,,,
BPT,Blockport,BPT,N/A,/coins/bpt/overview,N/A,,,,,
