cat1,cat2,name,raised,desc,ticker,start,end,www
volume/updates,,KED,1,2013-2018,KED,"","",https://www.coinopsy.com/dead-coins/darsek/,
volume/exchanges,,EBET,1,2017-2018,EBET,"","",https://www.coinopsy.com/dead-coins/ethbet/,
failed ico,,RC,1,2017-2018,RC,"","",https://www.coinopsy.com/dead-coins/receiptcoin/,
scam ico,,ARB,1,2015-2018,ARB,"","",https://www.coinopsy.com/dead-coins/arbit/,
website down,,BTG,1,2013-Current,BTG,"","",https://www.coinopsy.com/dead-coins/bitgem/,
scam/abandoned,,POS,1,2017-2018,POS,"","",https://www.coinopsy.com/dead-coins/postoken/,
dead ico,,ARI,1,2017-2017,ARI,"","",https://www.coinopsy.com/dead-coins/becksang/,
dormant,,ARK,1,2016-Current,ARK,"","",https://www.coinopsy.com/dead-coins/arcade-token/,
low volume,,ZCC,1,2014-2017,ZCC,"","",https://www.coinopsy.com/dead-coins/zccoin/,
failed ico,,BTQ,1,2017-2018,BTQ,"","",https://www.coinopsy.com/dead-coins/beautiq/,
failed ico,,LGY,1,2017-2018,LGY,"","",https://www.coinopsy.com/dead-coins/legacy-lotto/,
swap/exit scam,,ZCG,1,2017-2018,ZCG,"","",https://www.coinopsy.com/dead-coins/zlancer/,
dormant,,NIMFA,1,2017-2018,NIMFA,"","",https://www.coinopsy.com/dead-coins/nimfamoney/,
scam ico,,BLDP,1,2017-2018,BLDP,"","",https://www.coinopsy.com/dead-coins/boldpure/,
pre mine,,CALC,1,2016-Current ,CALC,"","",https://www.coinopsy.com/dead-coins/caliphcoin/,
no traction,,Bstar,1,2016-2018,Bstar,"","",https://www.coinopsy.com/dead-coins/blackstar/,
failed ico,,ALGO,1,2017-2018,ALGO,"","",https://www.coinopsy.com/dead-coins/algo-token/,
abandoned project,,SE,1,2017-Current,SE,"","",https://www.coinopsy.com/dead-coins/tattoocoin-se/,
closed down,,DRKT,1,2015-2016,DRKT,"","",https://www.coinopsy.com/dead-coins/darktron/,
abandoned coin,,BANX,1,2014-2017,BANX,"","",https://www.coinopsy.com/dead-coins/banx/,
abandoned quickly,,QRZ,1,2017-2017,QRZ,"","",https://www.coinopsy.com/dead-coins/quartz/,
project abandoned,,YBC,1,2014-2017,YBC,"","",https://www.coinopsy.com/dead-coins/ybcoin/,
removed ico,,AST,1,2017-2017,AST,"","",https://www.coinopsy.com/dead-coins/afterschool/,
website/volume,,Q2C,1,2014-2018,Q2C,"","",https://www.coinopsy.com/dead-coins/qubitcoin/,
low volume,,OPES,1,2015-2018,OPES,"","",https://www.coinopsy.com/dead-coins/opescoin/,
abandoned project,,REGA,1,2016-2018,REGA,"","",https://www.coinopsy.com/dead-coins/regacoin/,
low ranking,,HYPER,1,2014-Current,HYPER,"","",https://www.coinopsy.com/dead-coins/hyper/,
no volume,,SWP,1,2017-2018,SWP,"","",https://www.coinopsy.com/dead-coins/swapcoin/,
low volume,,BVC,1,2014-Current ,BVC,"","",https://www.coinopsy.com/dead-coins/beavercoin/,
ico scam,,LIR,1,2016-2018,LIR,"","",https://www.coinopsy.com/dead-coins/letitride/,
website gone,,ICN,1,2014-Current ,ICN,"","",https://www.coinopsy.com/dead-coins/icoin/,
website down,,XCRE,1,2017-Current,XCRE,"","",https://www.coinopsy.com/dead-coins/creatio/,
inactive/abandoned,,TEAM,1,2016-2018,TEAM,"","",https://www.coinopsy.com/dead-coins/teamup/,
failed ico,,ATN,1,2017-2018,ATN,"","",https://www.coinopsy.com/dead-coins/athena/,
scam coin,,RVC,1,2016-2016,RVC,"","",https://www.coinopsy.com/dead-coins/revcoin/,
failed/scam ico,,ATS,1,2017-2017,ATS,"","",https://www.coinopsy.com/dead-coins/aterious/,
premine/abandonment,,ATX,1,2016-2017,ATX,"","",https://www.coinopsy.com/dead-coins/artex-coin/,
abandoned project,,PRM,1,2016-2018,PRM,"","",https://www.coinopsy.com/dead-coins/prismchain/,
abandoned project,,PRN,1,2017-2018,PRN,"","",https://www.coinopsy.com/dead-coins/protean/,
volume/joke,,HBN,1,2013-2018,HBN,"","",https://www.coinopsy.com/dead-coins/hobonickels/,
abandoned project,,ORLY,1,2016-2018,ORLY,"","",https://www.coinopsy.com/dead-coins/orlycoin/,
no updates,,PRX,1,2017-2018,PRX,"","",https://www.coinopsy.com/dead-coins/printerium/,
pump and dump,,OCOW,1,2016-2018,OCOW,"","",https://www.coinopsy.com/dead-coins/ocow/,
failed ico,,AUN,1,2017-2017,AUN,"","",https://www.coinopsy.com/dead-coins/aether-united/,
simple site,,XBG,1,2017-2017,XBG,"","",https://www.coinopsy.com/dead-coins/btcgold/,
abandoned project,,UR,1,2016-2018,UR,"","",https://www.coinopsy.com/dead-coins/ur/,
failed ico,,HBY,1,2017-2017,HBY,"","",https://www.coinopsy.com/dead-coins/herby/,
scam coin,,SLEVIN,1,2017-2018,SLEVIN,"","",https://www.coinopsy.com/dead-coins/slevin/,
failed ico,,AUT,1,2017-2017,AUT,"","",https://www.coinopsy.com/dead-coins/autoria/,
website/volume,,VIDZ,1,2016-Current,VIDZ,"","",https://www.coinopsy.com/dead-coins/purevidz/,
website/scam,,MMC,1,2013-2017,MMC,"","",https://www.coinopsy.com/dead-coins/memorycoin/,
abandoned/removed,,MMB,1,2018-2018,MMB,"","",https://www.coinopsy.com/dead-coins/mambocoin/,
